Tên buổi tập,Tên bài tập,Số hiệp,Số lần,Thời gian,RPE,Nghỉ(s),Tempo,Khối Lượng(KG),Ghi chú
Tuần 1 - Ngày 1: Thân trên,Barbell Bench Press,4,6-8,,8,60,4010,80,Khởi động kỹ vai.
,Dumbbell Flyes,3,10-12,,7,45,,15,Cảm nhận cơ ngực căng.
,Pull-ups,3,AMRAP,,9,75,2011,,Có thể dùng dây hỗ trợ.
,Barbell Rows,4,8,,8,60,,60,Giữ lưng thẳng.
Tuần 1 - Ngày 2: Thân dưới,Barbell Squats,5,5,,8,90,3110,100,Gồng core.
,Leg Press,3,12-15,,8,60,,120,
,Romanian Deadlifts,3,10,,7,60,4010,70,
,Leg Curls,3,15,,7,45,,,
Tuần 1 - Ngày 3: Cardio & Core,,Plank,,,60s x 3,,60,,,Giữ hông ổn định.
,,Leg Raises,,,AMRAP x 3,,60,,,
,,Treadmill Run,,,30 phút,,,,,Chạy bền.
